Bin	Frequency (Hz)
0	0
1	15.625
2	31.25
3	46.875
4	62.5
5	78.125
6	93.75
7	109.375
8	125
9	140.625
10	156.25
11	171.875
12	187.5
13	203.125
14	218.75
15	234.375
16	250
17	265.625
18	281.25
19	296.875
20	312.5
21	328.125
22	343.75
23	359.375
24	375
25	390.625
26	406.25
27	421.875
28	437.5
29	453.125
30	468.75
31	484.375
32	500
33	515.625
34	531.25
35	546.875
36	562.5
37	578.125
38	593.75
39	609.375
40	625
41	640.625
42	656.25
43	671.875
44	687.5
45	703.125
46	718.75
47	734.375
48	750
49	765.625
50	781.25
51	796.875
52	812.5
53	828.125
54	843.75
55	859.375
56	875
57	890.625
58	906.25
59	921.875
60	937.5
61	953.125
62	968.75
63	984.375
64	1000
65	1015.625
66	1031.25
67	1046.875
68	1062.5
69	1078.125
70	1093.75
71	1109.375
72	1125
73	1140.625
74	1156.25
75	1171.875
76	1187.5
77	1203.125
78	1218.75
79	1234.375
80	1250
81	1265.625
82	1281.25
83	1296.875
84	1312.5
85	1328.125
86	1343.75
87	1359.375
88	1375
89	1390.625
90	1406.25
91	1421.875
92	1437.5
93	1453.125
94	1468.75
95	1484.375
96	1500
97	1515.625
98	1531.25
99	1546.875
100	1562.5
101	1578.125
102	1593.75
103	1609.375
104	1625
105	1640.625
106	1656.25
107	1671.875
108	1687.5
109	1703.125
110	1718.75
111	1734.375
112	1750
113	1765.625
114	1781.25
115	1796.875
116	1812.5
117	1828.125
118	1843.75
119	1859.375
120	1875
121	1890.625
122	1906.25
123	1921.875
124	1937.5
125	1953.125
126	1968.75
127	1984.375
128	2000
129	2015.625
130	2031.25
131	2046.875
132	2062.5
133	2078.125
134	2093.75
135	2109.375
136	2125
137	2140.625
138	2156.25
139	2171.875
140	2187.5
141	2203.125
142	2218.75
143	2234.375
144	2250
145	2265.625
146	2281.25
147	2296.875
148	2312.5
149	2328.125
150	2343.75
151	2359.375
152	2375
153	2390.625
154	2406.25
155	2421.875
156	2437.5
157	2453.125
158	2468.75
159	2484.375
160	2500
161	2515.625
162	2531.25
163	2546.875
164	2562.5
165	2578.125
166	2593.75
167	2609.375
168	2625
169	2640.625
170	2656.25
171	2671.875
172	2687.5
173	2703.125
174	2718.75
175	2734.375
176	2750
177	2765.625
178	2781.25
179	2796.875
180	2812.5
181	2828.125
182	2843.75
183	2859.375
184	2875
185	2890.625
186	2906.25
187	2921.875
188	2937.5
189	2953.125
190	2968.75
191	2984.375
192	3000
193	3015.625
194	3031.25
195	3046.875
196	3062.5
197	3078.125
198	3093.75
199	3109.375
200	3125
201	3140.625
202	3156.25
203	3171.875
204	3187.5
205	3203.125
206	3218.75
207	3234.375
208	3250
209	3265.625
210	3281.25
211	3296.875
212	3312.5
213	3328.125
214	3343.75
215	3359.375
216	3375
217	3390.625
218	3406.25
219	3421.875
220	3437.5
221	3453.125
222	3468.75
223	3484.375
224	3500
225	3515.625
226	3531.25
227	3546.875
228	3562.5
229	3578.125
230	3593.75
231	3609.375
232	3625
233	3640.625
234	3656.25
235	3671.875
236	3687.5
237	3703.125
238	3718.75
239	3734.375
240	3750
241	3765.625
242	3781.25
243	3796.875
244	3812.5
245	3828.125
246	3843.75
247	3859.375
248	3875
249	3890.625
250	3906.25
251	3921.875
252	3937.5
253	3953.125
254	3968.75
255	3984.375
256	4000
257	4015.625
258	4031.25
259	4046.875
260	4062.5
261	4078.125
262	4093.75
263	4109.375
264	4125
265	4140.625
266	4156.25
267	4171.875
268	4187.5
269	4203.125
270	4218.75
271	4234.375
272	4250
273	4265.625
274	4281.25
275	4296.875
276	4312.5
277	4328.125
278	4343.75
279	4359.375
280	4375
281	4390.625
282	4406.25
283	4421.875
284	4437.5
285	4453.125
286	4468.75
287	4484.375
288	4500
289	4515.625
290	4531.25
291	4546.875
292	4562.5
293	4578.125
294	4593.75
295	4609.375
296	4625
297	4640.625
298	4656.25
299	4671.875
300	4687.5
301	4703.125
302	4718.75
303	4734.375
304	4750
305	4765.625
306	4781.25
307	4796.875
308	4812.5
309	4828.125
310	4843.75
311	4859.375
312	4875
313	4890.625
314	4906.25
315	4921.875
316	4937.5
317	4953.125
318	4968.75
319	4984.375
320	5000
321	5015.625
322	5031.25
323	5046.875
324	5062.5
325	5078.125
326	5093.75
327	5109.375
328	5125
329	5140.625
330	5156.25
331	5171.875
332	5187.5
333	5203.125
334	5218.75
335	5234.375
336	5250
337	5265.625
338	5281.25
339	5296.875
340	5312.5
341	5328.125
342	5343.75
343	5359.375
344	5375
345	5390.625
346	5406.25
347	5421.875
348	5437.5
349	5453.125
350	5468.75
351	5484.375
352	5500
353	5515.625
354	5531.25
355	5546.875
356	5562.5
357	5578.125
358	5593.75
359	5609.375
360	5625
361	5640.625
362	5656.25
363	5671.875
364	5687.5
365	5703.125
366	5718.75
367	5734.375
368	5750
369	5765.625
370	5781.25
371	5796.875
372	5812.5
373	5828.125
374	5843.75
375	5859.375
376	5875
377	5890.625
378	5906.25
379	5921.875
380	5937.5
381	5953.125
382	5968.75
383	5984.375
384	6000
385	6015.625
386	6031.25
387	6046.875
388	6062.5
389	6078.125
390	6093.75
391	6109.375
392	6125
393	6140.625
394	6156.25
395	6171.875
396	6187.5
397	6203.125
398	6218.75
399	6234.375
400	6250
401	6265.625
402	6281.25
403	6296.875
404	6312.5
405	6328.125
406	6343.75
407	6359.375
408	6375
409	6390.625
410	6406.25
411	6421.875
412	6437.5
413	6453.125
414	6468.75
415	6484.375
416	6500
417	6515.625
418	6531.25
419	6546.875
420	6562.5
421	6578.125
422	6593.75
423	6609.375
424	6625
425	6640.625
426	6656.25
427	6671.875
428	6687.5
429	6703.125
430	6718.75
431	6734.375
432	6750
433	6765.625
434	6781.25
435	6796.875
436	6812.5
437	6828.125
438	6843.75
439	6859.375
440	6875
441	6890.625
442	6906.25
443	6921.875
444	6937.5
445	6953.125
446	6968.75
447	6984.375
448	7000
449	7015.625
450	7031.25
451	7046.875
452	7062.5
453	7078.125
454	7093.75
455	7109.375
456	7125
457	7140.625
458	7156.25
459	7171.875
460	7187.5
461	7203.125
462	7218.75
463	7234.375
464	7250
465	7265.625
466	7281.25
467	7296.875
468	7312.5
469	7328.125
470	7343.75
471	7359.375
472	7375
473	7390.625
474	7406.25
475	7421.875
476	7437.5
477	7453.125
478	7468.75
479	7484.375
480	7500
481	7515.625
482	7531.25
483	7546.875
484	7562.5
485	7578.125
486	7593.75
487	7609.375
488	7625
489	7640.625
490	7656.25
491	7671.875
492	7687.5
493	7703.125
